frame, timestamp, confidence, success, x_0, y_0, z_0, x_1, y_1, z_1, x_h0, y_h0, z_h0, x_h1, y_h1, z_h1
1, 0, 0.983915, 1, -0.0235464, 0.242617, -0.969836, -0.220724, 0.207532, -0.953001, -0.069815, 0.46952, -0.880157, -0.26609, 0.429935, -0.862758
2, 0.0333333, 0.984079, 1, -0.0178321, 0.243434, -0.969753, -0.235717, 0.215903, -0.947535, -0.0581819, 0.481466, -0.874531, -0.27489, 0.446279, -0.851628
3, 0.0666667, 0.983523, 1, -0.0203431, 0.23994, -0.970574, -0.242104, 0.215758, -0.945957, -0.0577354, 0.48428, -0.873006, -0.278243, 0.450642, -0.848235
4, 0.1, 0.983979, 1, -0.0227078, 0.235896, -0.971513, -0.248893, 0.220147, -0.94318, -0.0574062, 0.486755, -0.87165, -0.28232, 0.459116, -0.842323
5, 0.133333, 0.983953, 1, -0.0232461, 0.235745, -0.971537, -0.2507, 0.220682, -0.942576, -0.0567159, 0.486648, -0.871755, -0.28291, 0.459063, -0.842154
6, 0.166667, 0.983898, 1, -0.0231309, 0.235235, -0.971663, -0.250587, 0.220345, -0.942685, -0.0566301, 0.486356, -0.871924, -0.282818, 0.45875, -0.842355
7, 0.2, 0.983889, 1, -0.0148315, 0.250858, -0.96791, -0.245815, 0.216913, -0.944735, -0.0475874, 0.495764, -0.867153, -0.2772, 0.451508, -0.848116
8, 0.233333, 0.984247, 1, -0.0268517, 0.245914, -0.96892, -0.235429, 0.199246, -0.951249, -0.0606244, 0.494969, -0.866793, -0.267718, 0.440075, -0.857124
9, 0.266667, 0.98391, 1, -0.0198766, 0.244416, -0.969467, -0.234436, 0.208101, -0.949597, -0.0545842, 0.492333, -0.868694, -0.267712, 0.446453, -0.853821
10, 0.3, 0.982661, 1, -0.0218962, 0.232295, -0.972399, -0.24004, 0.212771, -0.947159, -0.0535985, 0.48212, -0.874464, -0.270553, 0.451155, -0.850447
